Place Name,Latitude,Longitude,Interest
Taj Mahal,27.1751,78.0421, Historical
Jaipur City Palace,26.9124,75.7873, Historical
Goa Beach,15.2993,74.124, Beach
Kerala Backwaters,9.4981,76.3388, Scenic
Rishikesh,30.0866,78.2676, Adventure
Agra Fort,27.1767,78.0218, Historical
Mysore Palace,12.3051,76.6551, Cultural
Varanasi Ghats,25.3176,83.0058, Spiritual
Jaisalmer Desert,26.9157,70.9083, Adventure
Darjeeling Tea Gardens,27.036,88.2627, Scenic
Hampi Ruins,15.335,76.4626, Historical
Kovalam Beach,8.3949,76.9789, Beach
Shimla Mall Road,31.1048,77.1734, Shopping
Jim Corbett National Park,29.4939,78.9047, Wildlife
Kanyakumari Sunrise Point,8.0883,77.5385, Scenic
Elephanta Caves,18.9637,72.9316, Historical
Rann of Kutch,23.7337,69.8597, Desert
Khajuraho Temples,24.851,79.9199, Cultural
Ladakh Pangong Lake,33.8498,78.5649, Adventure
Ajanta and Ellora Caves,20.551,75.7037, Historical
Kaziranga National Park,26.5445,93.171, Wildlife
Nainital,29.3803,79.4636, Hill Station
Mahabodhi Temple,24.6965,84.9918, Spiritual
Andaman Islands,11.7401,92.6586, Beach
Pushkar Camel Fair,26.4899,74.55, Cultural
Gulmarg Ski Resort,34.049,74.3785, Adventure
Kodaikanal,10.2381,77.4892, Hill Station
Khumbu Valley,27.959,86.813, Trekking
Rajasthan Folk Festival,27.019,74.2179, Cultural
Sun Temple Konark,19.8876,86.0966, Historical
Puducherry Beach,11.9139,79.8145, Beach
Mehrangarh Fort,26.2986,73.0183, Historical
Rishikesh Yoga Retreat,30.127,78.3318, Spiritual
Bandipur National Park,11.677,76.6515, Wildlife
Auli Ski Resort,30.3362,79.3668, Adventure
Jodhpur Blue City,26.2389,73.0243, Cultural
Hogenakkal Falls,12.1224,77.8029, Waterfall
Dharamshala,32.219,76.3234, Hill Station
Gangtok,27.3389,88.6065, Scenic
Bodh Gaya,24.6975,84.9864, Spiritual
Alleppey Backwaters,9.4981,76.3388, Scenic
Udaipur City Palace,24.5765,73.6837, Historical
Aurangabad Caves,19.8776,75.342, Historical
Dudhsagar Waterfalls,15.3144,74.3142, Waterfall
Manali,32.2396,77.1887, Adventure
Kolkata Victoria Memorial,22.5448,88.3426, Historical
Puri Beach,19.8134,85.8315, Beach
Valley of Flowers,30.7264,79.6544, Scenic
Mumbai Marine Drive,18.9387,72.8246, Cityscape
Badami Caves,15.9174,75.6763, Historical
Chittorgarh Fort,24.8799,74.625, Historical
Kumarakom Bird Sanctuary,9.6015,76.4327, Wildlife
Rameswaram,9.2876,79.3129, Religious
Hassan Belur-Halebid Temples,13.2406,75.6991, Cultural
Spiti Valley,32.3095,78.06, Adventure
Pachmarhi,22.4674,78.4307, Hill Station
Havelock Island,11.9696,93.2356, Beach
Ranikhet,29.643,79.4322, Hill Station
Shillong,25.5788,91.8933, Scenic
Haridwar,29.9457,78.1642, Spiritual
Amritsar Golden Temple,31.6204,74.8765, Religious
Kasol,32.009,77.315, Trekking
Jodhpur Umaid Bhawan Palace,26.2843,73.0231, Historical
Pelling,27.0689,88.2769, Scenic
Mandu,22.3664,75.3832, Historical
Wayanad,11.6856,76.1328, Nature
Kedarnath,30.7335,79.0669, Spiritual
Gokarna Beach,14.5481,74.3199, Beach
Rajgir,25.038,85.4395, Historical
Dhanushkodi,9.1655,79.4477, Scenic
Tawang Monastery,27.586,91.865, Religious
Kochi Fort,9.9667,76.2422, Historical
Bikaner Camel Safari,28.0229,73.3119, Adventure
Andretta Artists' Village,32.153,76.2065, Cultural
Kumbhalgarh Fort,32.5782,73.7034, Historical
Kausani,29.8542,79.5985, Hill Station
Kasauli,30.9002,76.9685, Scenic
Patan,23.856,72.1137, Cultural
Leh Ladakh,34.1642,77.5848, Adventure
Pachmarhi Satpura National Park,22.4734,78.4344, Wildlife
Bodh Gaya Mahabodhi Temple,24.6965,84.9918, Religious
Chadar Trek,33.7644,77.3943, Trekking
Madurai Meenakshi Temple,9.9194,78.119, Religious
Cherrapunjee,25.2986,91.5822, Scenic
Gulmarg Gondola,34.0476,74.3846, Adventure
Kolkata Howrah Bridge,22.5855,88.347, Cityscape
Kochi Chinese Fishing Nets,9.9667,76.2446, Cultural
Khimsar Desert Safari,27.9797,73.9585, Adventure
Bhimbetka Rock Shelters,22.9356,77.2966, Historical
Manas National Park,26.6669,91.1764, Wildlife
Varkala Beach,8.7356,76.7053, Beach
Ganpatipule Beach,16.828,73.2725, Scenic
Rishikesh River Rafting,30.0878,78.2676, Adventure
Hemis Monastery,33.9839,77.756, Religious
Trek to Valley of Flowers,30.7264,79.6544, Trekking
Ooty,11.4064,76.6932, Hill Station
Tirupati Balaji Temple,13.6288,79.4192, Religious
Palolem Beach,15.0095,74.0234, Beach
Mandawa,27.0435,75.1528, Cultural
Gir National Park,21.1662,70.4735, Wildlife
Dalhousie,32.5357,75.9778, Hill Station
Lachung,27.7417,88.6114, Scenic
Rann Utsav,23.7337,69.8597, Cultural
Kanyakumari,8.0883,77.5385, Scenic
Haveli in Shekhawati,27.4339,75.6353, Cultural
Hornbill Festival,25.6654,94.1068, Cultural
Rohtang Pass,32.3567,77.1734, Adventure
Bodh Gaya Mahabodhi Tree,24.6965,84.9918, Spiritual
Nanda Devi National Park,30.4215,79.804, Wildlife
Tso Moriri Lake,32.9722,78.3665, Scenic
Ajmer Dargah Sharif,26.4499,74.6399, Religious
Jaisalmer Sam Sand Dunes,26.9759,71.1022, Adventure
Hampi Virupaksha Temple,15.335,76.4626, Religious
Jog Falls,14.2157,74.8068, Waterfall
Lonavala,18.7525,73.4057, Hill Station
Kutch White Rann,23.7337,69.8597, Scenic
Mahabalipuram Shore Temple,12.6269,80.1924, Religious
Meghalaya Living Root Bridges,25.2138,91.5807, Scenic
Mount Abu,24.5925,72.7156, Hill Station
Tiruvannamalai,12.2266,79.0671, Spiritual
Almora,29.6117,79.6563, Scenic
Dzukou Valley,25.5587,94.0926, Trekking
Rishikesh Bungee Jumping,30.1077,78.2927, Adventure
Hemkund Sahib,30.5463,79.6407, Religious
Tarkarli Beach,16.0062,73.4707, Beach
Munnar Tea Gardens,10.0941,77.0592, Scenic
Dhanaulti,30.4515,78.1284, Hill Station
Pahalgam,34.0259,75.3253, Scenic
Durga Puja in Kolkata,22.5726,88.3639, Cultural
Har ki Pauri,29.9524,78.1662, Religious
Nubra Valley,35.676,77.4305, Scenic
Kanha National Park,22.3945,80.5718, Wildlife
Nashik Vineyards,20.0063,73.7724, Food and Wine
Gavi Eco-tourism,9.3825,77.2738, Nature
Agra Mehtab Bagh,27.1559,78.0422, Scenic
Orchha,25.3494,78.6336, Historical
Palitana Temples,21.5217,71.8274, Religious
Yumthang Valley,27.8685,88.6638, Scenic
Kochi Biennale,10.027,76.2236, Art and Culture
Chamarel Plains,20.4225,57.3962, Scenic
Gandikota Grand Canyon of India,14.8143,78.2897, Geological
Sariska National Park,27.1519,76.3734, Wildlife
Nalanda University,25.1363,85.4434, Historical
Belur Math,22.6276,88.3473, Religious
Kovalam Lighthouse Beach,8.0455,76.3113, Beach
Pushkar Lake,26.4895,74.5521, Spiritual
Kutch Handicraft Villages,23.7337,69.8597, Cultural
Valparai,10.3269,76.951, Nature
Lachen,27.6937,88.609, Scenic
Mysore Dasara Festival,12.2958,76.6394, Cultural
Auli Artificial Lake,30.3362,79.3668, Adventure
Bhandardara,19.554,73.7512, Nature
Kochi Kathakali Performance,9.9312,76.2673, Art and Culture
Chikmagalur,13.3152,75.7754, Hill Station
Digha Beach,21.6288,87.5276, Beach
Bhutan Tiger's Nest Monastery,27.4914,89.363, Religious
Khimsar Sand Dunes,27.9809,73.9585, Adventure
Hogenakkal Boat Ride,12.1224,77.8029, Adventure
Marari Beach,9.614,76.2711, Beach
Kolkata Park Street,22.5469,88.361, Nightlife
Wayanad Edakkal Caves,11.5665,76.081, Historical
Dawki River,25.1976,91.9882, Scenic
Loktak Lake,24.5146,93.9937, Nature
Halebidu,13.222,75.9936, Historical
Kanyakumari Thiruvalluvar Statue,8.0883,77.5385, Scenic
Dal Lake Shikara Ride,34.0836,74.7973, Adventure
Meghamalai,9.6267,77.308, Nature
Jodhpur Sardar Market,26.2867,73.0297, Shopping
Kaziranga Elephant Safari,26.5445,93.171, Wildlife
Chittorgarh Light and Sound Show,24.8799,74.625, Cultural
Girnar Hill,21.5213,70.4515, Trekking
Hassan Shravanabelagola,11.976,76.5499, Religious
Manas Sarovar,30.7804,81.499, Scenic
Gandhinagar Akshardham,23.229,72.6391, Religious
Kumbakonam,10.9626,79.3917, Cultural
Agra Itimad-ud-Daulah's Tomb,27.2085,78.0217, Historical
Kolkata Indian Museum,22.5585,88.3498, Cultural
Hogenakkal Coracle Ride,12.1224,77.8029, Adventure
Ganpatipule Ganesh Temple,16.8302,73.6894, Religious
Mandu Jahaz Mahal,22.3696,75.3827, Historical
Sundarbans Mangrove Forest,21.9497,88.8971, Wildlife
